icao,iata,name,lat,lon,elev,tz,name_ext,city,region,country
EFHV,HYV,Hyvinkaa,60.65444399999999,24.881111,119.0,Europe/Helsinki,Hyvinkää Airfield,Hyvinkää,, Finland
EFIV,IVL,Ivalo,68.60726899999999,27.405328000000004,128.0,Europe/Helsinki,Ivalo Airport,Ivalo,, Finland
EFJO,JOE,Joensuu,62.66290600000001,29.60755,103.0,Europe/Helsinki,Joensuu Airport,Joensuu,, Finland
EFJY,JYV,Jyvaskyla,62.399453,25.678253,126.0,Europe/Helsinki,Jyväskylä Airport,Jyväskylä,, Finland
EFKA,KAU,Kauhava,63.127078,23.051442,23.0,Europe/Helsinki,Kauhava Airfield,Kauhava,, Finland
EFKE,KEM,Kemi Tornio,65.781889,24.5991,12.0,Europe/Helsinki,Kemi-Tornio Airport,Kemi / Tornio,, Finland
EFKI,KAJ,Kajaani,64.285472,27.692414000000007,125.0,Europe/Helsinki,Kajaani Airport,Kajaani,, Finland
EFKK,KOK,Kruunupyy,63.721172,23.143131,13.0,Europe/Helsinki,Kokkola-Pietarsaari Airport,Kokkola / Jakobstad,, Finland
EFKS,KAO,Kuusamo,65.987575,29.239381,252.0,Europe/Helsinki,Kuusamo Airport,Kuusamo,, Finland
EFKT,KTT,Kittila,67.701022,24.84685,166.0,Europe/Helsinki,Kittilä Airport,Kittilä,, Finland
EFKU,KUO,Kuopio,63.00715,27.797756,79.0,Europe/Helsinki,Kuopio Airport,Kuopio,, Finland
EFLP,LPP,Lappeenranta,61.044553,28.144397,108.0,Europe/Helsinki,Lappeenranta Airport,Lappeenranta,, Finland
EFMA,MHQ,Mariehamn,60.122203000000006,19.898156,13.0,Europe/Mariehamn,Mariehamn Airport,Mariehamn, Åland, Finland
EFMI,MIK,Mikkeli,61.6866,27.201794,85.0,Europe/Helsinki,Mikkeli Airport,Mikkeli,, Finland
EFOU,OUL,Oulu,64.930061,25.354564,8.0,Europe/Helsinki,Oulu Airport,Oulu,, Finland
EFPO,POR,Pori,61.461686,21.799983,10.0,Europe/Helsinki,Pori Airport,Pori,, Finland
EFRO,RVN,Rovaniemi,66.56482199999999,25.830411,193.0,Europe/Helsinki,Rovaniemi Airport,Rovaniemi,, Finland
EFSA,SVL,Savonlinna,61.943064,28.945136,74.0,Europe/Helsinki,Savonlinna Airport[1],Savonlinna,, Finland
EFSO,SOT,Sodankyla,67.395033,26.619133,166.0,Europe/Helsinki,Sodankylä Airfield[1],Sodankylä,, Finland
EFTP,TMP,Tampere Pirkkala,61.414147,23.604392,113.0,Europe/Helsinki,Tampere–Pirkkala Airport,Tampere,, Finland
EFTU,TKU,Turku,60.51414200000001,22.262808,50.0,Europe/Helsinki,Turku Airport,Turku,, Finland
EFUT,QVY,Utti,60.896394,26.938353000000006,101.0,Europe/Helsinki,Utti Airport,Utti,, Finland
EFVA,VAA,Vaasa,63.05065,21.762175,6.0,Europe/Helsinki,Vaasa Airport,Vaasa,, Finland
EFVR,VRK,Varkaus,62.171111,27.868611,59.0,Europe/Helsinki,Varkaus Airport,Varkaus,, Finland
EGAA,BFS,Belfast Intl,54.6575,-6.215833,69.0,Europe/London,Belfast International Airport,Belfast, Northern Ireland, United Kingdom
EGAB,ENK,St Angelo,54.398889,-7.651667,30.0,Europe/London,Enniskillen/St Angelo Airport,Enniskillen, Northern Ireland, United Kingdom
EGAC,BHD,Belfast City,54.618056,-5.8725,11.0,Europe/London,George Best Belfast City Airport,Belfast, Northern Ireland, United Kingdom
EGAE,LDY,City of Derry,55.042778000000006,-7.161111,11.0,Europe/London,City of Derry Airport,Derry (Londonderry), Northern Ireland, United Kingdom
EGBB,BHX,Birmingham,52.45385600000001,-1.748028,82.0,Europe/London,Birmingham Airport,Birmingham, England, United Kingdom
EGBE,CVT,Coventry,52.369722,-1.479722,89.0,Europe/London,Coventry Airport,Coventry, England, United Kingdom
EGBJ,GLO,Gloucestershire,51.894167,-2.167222,27.0,Europe/London,Gloucestershire Airport,Gloucester / Cheltenham, England, United Kingdom
EGCC,MAN,Manchester,53.35374399999999,-2.27495,69.0,Europe/London,Manchester Airport,Manchester, England, United Kingdom
EGDG,NQY,St Mawgan,50.440558,-4.995408,99.0,Europe/London,,,,
EGDL,LYE,Lyneham,51.505144,-1.993428,162.0,Europe/London,RAF Lyneham,Lyneham, England, United Kingdom
EGDY,YEO,Yeovilton,51.009358,-2.638819,13.0,Europe/London,Royal Naval Air Station Yeovilton,Yeovilton, England, United Kingdom
EGFF,CWL,Cardiff,51.396667,-3.3433330000000003,57.0,Europe/London,Cardiff Airport,Cardiff, Wales, United Kingdom
EGFH,SWS,Swansea,51.605333,-4.067833,86.0,Europe/London,Swansea Airport,Swansea, Wales, United Kingdom
EGGD,BRS,Bristol,51.382669,-2.719089,178.0,Europe/London,Bristol Airport,Bristol, England, United Kingdom
EGGP,LPL,Liverpool,53.333611,-2.8497220000000003,23.0,Europe/London,Liverpool John Lennon Airport,Liverpool, England, United Kingdom
EGGW,LTN,Luton,51.874722,-0.368333,156.0,Europe/London,Luton Airport,London, England, United Kingdom
EGHD,PLH,Plymouth,50.422778,-4.1058330000000005,136.0,Europe/London,Plymouth City Airport,Plymouth, England, United Kingdom
EGHH,BOH,Bournemouth,50.78,-1.8425,13.0,Europe/London,Bournemouth Airport,Bournemouth, England, United Kingdom
EGHI,SOU,Southampton,50.950261,-1.356803,16.0,Europe/London,Southampton Airport,Southampton, England, United Kingdom
EGHL,QLA,Lasham,51.187167,-1.0335,176.0,Europe/London,,,,
EGJA,ACI,Alderney,49.706111,-2.214722,90.0,Europe/Guernsey,Alderney Airport,Alderney, Channel Islands, United Kingdom
EGJB,GCI,Guernsey,49.434956,-2.601969,96.0,Europe/Guernsey,Guernsey Airport,Guernsey, Channel Islands, United Kingdom
EGJJ,JER,Jersey,49.207947,-2.195508,90.0,Europe/Jersey,Jersey Airport,Jersey, Channel Islands, United Kingdom
EGKA,ESH,Shoreham,50.835556,-0.297222,14.0,Europe/London,Shoreham Airport (Brighton City Airport),Shoreham-by-Sea, England, United Kingdom
